L4 | Sun Jul 13 19:31:59 2025 (919 ms) | general | New game starting up
L4 | Sun Jul 13 19:31:59 2025 (919 ms) | general | Target game image size:  1280x720

L4 | Sun Jul 13 19:31:59 2025 (920 ms) | general | Ideal window dimensions:  1280x720

L4 | Sun Jul 13 19:31:59 2025 (920 ms) | general | Trying to start in window mode.
L4 | Sun Jul 13 19:31:59 2025 (920 ms) | general | Want to use largest window that fits on screen.
L4 | Sun Jul 13 19:31:59 2025 (920 ms) | general | Largest-window mode would offer a <25width increase, using requested window size instead.
L4 | Sun Jul 13 19:31:59 2025 (920 ms) | general | Screen dimensions for largest-window mode:  1280x720

L4 | Sun Jul 13 19:31:59 2025 (921 ms) | general | The following frame rates are considered possible:
L4 | Sun Jul 13 19:31:59 2025 (921 ms) | general | 30 fps
L4 | Sun Jul 13 19:31:59 2025 (921 ms) | general | 60 fps
L4 | Sun Jul 13 19:31:59 2025 (921 ms) | general | 100 fps
L4 | Sun Jul 13 19:31:59 2025 (921 ms) | general | 120 fps
L4 | Sun Jul 13 19:31:59 2025 (921 ms) | general | 144 fps
L4 | Sun Jul 13 19:31:59 2025 (921 ms) | general | 165 fps
L4 | Sun Jul 13 19:31:59 2025 (922 ms) | general | Constructing ScreenGL with requested 1280x720, 60 fps, fullscreen(0)
L4 | Sun Jul 13 19:31:59 2025 (923 ms) | general | Current screen configuration is 1440x900 with aspect ratio 1.60
L4 | Sun Jul 13 19:31:59 2025 (923 ms) | general | All resolutions available
L4 | Sun Jul 13 19:32:00 2025 (84 ms) | general | ScreenGL gave us 1280x720, 60 fps
L4 | Sun Jul 13 19:32:00 2025 (84 ms) | general | Setting non-integer-scaled screen image size of 1280x720
L4 | Sun Jul 13 19:32:00 2025 (146 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L1 | Sun Jul 13 19:32:00 2025 (146 ms) | general | CRITICAL ERROR:  TGA file graphics/font_32_64.tga does not exist
L4 | Sun Jul 13 19:32:00 2025 (146 ms) | general | setViewSize called with 1280.000000
L4 | Sun Jul 13 19:32:00 2025 (146 ms) | general | setLetterbox called with 1280.000000x720.000000
L4 | Sun Jul 13 19:32:01 2025 (796 ms) | general | Measured frame rate = 59.055116 fps

L4 | Sun Jul 13 19:32:01 2025 (797 ms) | general | Closest possible frame rate = 60 fps

L4 | Sun Jul 13 19:32:01 2025 (797 ms) | general | Vsync seems to be enforcing an allowed frame rate of 60 fps.

L1 | Sun Jul 13 19:32:01 2025 (830 ms) | general | CRITICAL ERROR:  TGA file graphics/instructions.tga does not exist
L4 | Sun Jul 13 19:32:01 2025 (830 ms) | general | OneLife client v430 (binV=430, dataV=0) starting up
L4 | Sun Jul 13 19:32:01 2025 (831 ms) | general | setViewSize called with 1280.000000
L4 | Sun Jul 13 19:32:01 2025 (831 ms) | general | setLetterbox called with 1280.000000x720.000000
L1 | Sun Jul 13 19:32:01 2025 (831 ms) | general | CRITICAL ERROR:  TGA file graphics/font_32_64.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (831 ms) | general | CRITICAL ERROR:  TGA file graphics/font_32_64.tga does not exist
